Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57125369,2023 Mar 24 12:39:11 AM,2023 Mar 24 12:39:11 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10473.0,541 ROSEDALE AVENUE,ROSEDALE AVENUE,SOUNDVIEW PARK PATH,RANDALL AVENUE,SOUNDVIEW PARK PATH,RANDALL AVENUE,ADDRESS,BRONX,ROSEDALE AVENUE,,Closed,,2023 Mar 24 12:39:11 AM,09 BRONX,BRONX,"1,021,495","236,402",Unspecified,BRONX,,,,,,,,40.81546608887,-73.86544459501,POINT (-73.86544459500982 40.815466088873976)
18266871,2010 Jul 15 12:00:00 AM,2010 Jul 22 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10031.0,524 WEST 152 STREET,WEST 152 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,,Closed,2010 Aug 14 07:26:28 PM,2010 Oct 08 12:00:00 AM,09 MANHATTAN,MANHATTAN,"999,396","241,679",Unspecified,MANHATTAN,,,,,,,,40.83001548663,-73.94526993865,POINT (-73.94526993865007 40.83001548662545)
39182446,2018 May 13 12:00:00 AM,2018 May 14 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11210.0,940 EAST   32 STREET,EAST   32 STREET,AVENUE I,AVENUE J,,,ADDRESS,BROOKLYN,,,Closed,2018 Jun 12 08:08:40 AM,2018 May 14 12:00:00 AM,18 BROOKLYN,BROOKLYN,"999,457","168,200",Unspecified,BROOKLYN,,,,,,,,40.62833362111,-73.94521557253,POINT (-73.94521557252503 40.62833362111101)
37075949,2017 Aug 31 12:00:00 AM,2017 Sep 07 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11216.0,1440 BEDFORD AVENUE,BEDFORD AVENUE,PROSPECT PLACE,PARK PLACE,,,ADDRESS,BROOKLYN,,,Closed,2017 Sep 30 01:37:07 PM,2017 Sep 07 12:00:00 AM,08 BROOKLYN,BROOKLYN,"997,042","184,831",Unspecified,BROOKLYN,,,,,,,,40.67398590835,-73.95388425831,POINT (-73.95388425831217 40.67398590834921)
50297499,2021 Apr 16 04:19:01 PM,2021 May 07 10:41:44 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207.0,711 EVERGREEN AVENUE,EVERGREEN AVENUE,COOPER STREET,MOFFAT STREET,COOPER STREET,MOFFAT STREET,ADDRESS,BROOKLYN,EVERGREEN AVENUE,,Closed,,2021 Apr 16 04:19:01 PM,04 BROOKLYN,BROOKLYN,"1,009,721","189,264",Unspecified,BROOKLYN,,,,,,,,40.68612608053,-73.90815915656,POINT (-73.90815915655574 40.68612608052949)
36774135,2017 Jul 24 12:00:00 AM,2017 Jul 27 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10009.0,263 EAST    7 STREET,EAST    7 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,,Closed,2017 Aug 23 11:29:56 PM,2017 Jul 27 12:00:00 AM,03 MANHATTAN,MANHATTAN,"990,428","202,907",Unspecified,MANHATTAN,,,,,,,,40.72360739543,-73.97771144672,POINT (-73.97771144672487 40.72360739542799)
39148900,2018 May 09 12:00:00 AM,2018 Jun 07 11:52:08 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207.0,29 GRANITE STREET,GRANITE STREET,BROADWAY,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,2018 Jun 08 09:49:54 PM,2018 Jun 07 11:52:08 AM,04 BROOKLYN,BROOKLYN,"1,009,824","187,965",Unspecified,BROOKLYN,,,,,,,,40.68256032701,-73.9077926998,POINT (-73.90779269979703 40.68256032700918)
56925300,2023 Mar 01 07:13:59 PM,2023 Mar 08 12:50:22 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10128.0,317 EAST   89 STREET,EAST   89 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   89 STREET,,Closed,,2023 Mar 01 07:13:59 PM,08 MANHATTAN,MANHATTAN,"998,179","223,293",Unspecified,MANHATTAN,,,,,,,,40.7795529886,-73.94970571188,POINT (-73.94970571188016 40.779552988603704)
65658235,2025 Jul 25 08:50:55 PM,2025 Jul 25 08:50:55 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11231.0,311 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,WOODHULL STREET,HAMILTON AVENUE,ADDRESS,BROOKLYN,COLUMBIA STREET,,Closed,,2025 Aug 15 10:50:00 AM,06 BROOKLYN,BROOKLYN,"983,041","187,588",Unspecified,BROOKLYN,,,,,,,,40.68156240972,-74.00435899496,POINT (-74.00435899496361 40.68156240972397)
40150241,2018 Aug 30 11:34:25 AM,2018 Sep 11 04:03:50 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11420.0,109-42 VAN WYCK EXPRESSWAY,VAN WYCK EXPRESSWAY,,,,,ADDRESS,South Ozone Park,,,Closed,2018 Sep 29 11:32:26 AM,2018 Sep 11 04:03:50 PM,10 QUEENS,QUEENS,"1,037,488","189,459",Unspecified,QUEENS,,,,,,,,40.68653784897,-73.80803831675,POINT (-73.80803831675384 40.68653784896915)
